Timestamp	Battery	Time_ms	Q0	Q1	Q2	Q3	Acc_X	Acc_Y	Acc_Z	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8
2025-02-28 13:53:52	217	76398	3647868416	3674550912	431688672	3891354848	3684	1636	-22	795	930	980	1055	1015	1135	20475	20475
2025-02-28 13:53:53	218	76623	3635504512	3708565312	460870368	3892783456	3744	1648	56	820	900	1055	945	1125	1115	20475	20475
2025-02-28 13:53:53	218	76736	3627941312	3734730368	481905184	3892611584	3758	1266	160	915	900	1100	935	1115	1140	20475	20475
2025-02-28 13:53:53	218	77073	3610541312	3781762592	515354080	3900627680	3852	996	288	960	890	1065	920	1045	1200	20475	20475
2025-02-28 13:53:53	218	77524	3608580736	3783781824	524375264	3913515776	3862	1046	230	935	875	950	800	1120	1120	20475	20475
2025-02-28 13:53:54	218	77636	3606514944	3785838240	526060064	3916822464	3876	1040	290	930	875	950	880	1115	1115	20475	20475
2025-02-28 13:53:54	218	77749	3604829440	3786949408	527273120	3920104544	3878	1062	294	930	875	945	885	1100	1105	20475	20475
2025-02-28 13:53:54	221	77861	3604846208	3786970560	529251360	3922842304	3854	1058	260	925	870	935	885	1105	1105	20475	20475
2025-02-28 13:53:54	218	78205	3600581952	3791610240	534577088	3932200704	3836	1078	290	930	880	925	785	1090	1090	20475	20475
2025-02-28 13:53:55	216	78548	3595665728	3798295584	539815232	3940276288	3842	1074	264	920	880	920	780	1080	1080	20475	20475
2025-02-28 13:53:55	217	78886	3589534784	3804159488	543401280	3949859552	3858	1104	260	915	880	920	780	1075	1080	20475	20475
2025-02-28 13:53:55	218	78998	3588318784	3805881568	545101824	3952595264	3836	1098	266	915	880	915	790	1085	1070	20475	20475
2025-02-28 13:53:55	219	79336	3574504128	3829684160	557017536	3967724832	3904	1140	222	920	820	1065	665	1200	1075	20475	20475
2025-02-28 13:53:56	216	79674	3559245120	3876336480	563279168	3949874240	3730	1314	1390	1225	1245	1625	1170	1650	1500	20475	20475
2025-02-28 13:53:56	218	80011	3414050240	4030310432	514826848	4090500224	2928	174	1042	1335	1410	1540	1220	1455	1515	20475	20475
2025-02-28 13:53:56	216	80236	3417306176	4052012768	528806912	4085303936	2624	56	1044	1330	1410	1450	1210	1425	1475	20475	20475
2025-02-28 13:53:56	217	80349	3441829376	4059122864	573328896	4093129520	3558	420	1178	1345	1425	1460	1220	1400	1475	20475	20475
2025-02-28 13:53:57	217	80810	3612431168	3894821472	668114752	4011132928	3858	1124	-540	1255	1120	1420	1190	1380	1480	20475	20475
2025-02-28 13:53:57	219	81148	3608570496	3840957632	626798592	4007270176	3854	1190	-276	1055	955	1060	1005	1395	1120	20475	20475
2025-02-28 13:53:57	216	81486	3585764224	3845038080	614118592	4029703584	3832	1154	-160	945	995	1000	1105	1300	1150	20475	20475
2025-02-28 13:53:58	220	81936	3562775552	3873907136	616599872	4051410512	3856	1104	70	895	945	965	1010	1275	1160	20475	20475
2025-02-28 13:53:58	221	82274	3557279232	3885381184	621970112	4062329696	3864	1096	150	880	940	950	995	1255	1150	20475	20475
2025-02-28 13:53:59	221	82611	3552825728	3896323584	627739328	4073237776	3868	1088	146	890	935	950	980	1255	1130	20475	20475
2025-02-28 13:53:59	218	82842	3549315904	3903290496	630002048	4079090816	3876	1090	174	870	940	945	975	1250	1125	20475	20475
2025-02-28 13:53:59	218	83298	3545616256	3915822176	638265728	4094341936	3852	1078	150	880	935	940	960	1250	1125	20475	20475
2025-02-28 13:53:59	217	83411	3542621824	3920720032	638442240	4096930512	3874	1088	172	885	940	930	960	1240	1120	20475	20475
2025-02-28 13:54:00	218	83748	3537299712	3930383456	640059136	4104561696	3848	1070	238	885	930	925	955	1245	1130	20475	20475
2025-02-28 13:54:00	215	83973	3535616064	3935239680	643152064	4112624656	3838	1068	196	875	930	925	940	1240	1120	20475	20475
2025-02-28 13:54:00	215	84424	3532763968	3946945792	650048000	4126811536	3862	1078	202	885	920	920	935	1225	1110	20475	20475
2025-02-28 13:54:01	218	84874	3526885312	3974276672	663987456	4156259584	3846	1102	206	935	870	1160	775	1640	1130	20475	20475
2025-02-28 13:54:01	218	85099	3529067392	3972301248	667321664	4165054144	3836	1156	164	965	855	1320	710	1825	1095	20475	20475
2025-02-28 13:54:02	219	85560	3527600320	3984552576	672793920	4172285712	3854	1074	184	950	860	1230	665	1590	1070	20475	20475
2025-02-28 13:54:02	217	86236	3526812672	3993469568	678562880	4187722424	3856	1102	192	935	845	1400	615	1850	1070	20475	20475
2025-02-28 13:54:02	218	86348	3526601664	3994712800	679490048	4191689760	3836	1130	166	935	845	1365	610	1835	1060	20475	20475
2025-02-28 13:54:03	220	86574	3525690112	4001677920	682147584	4196070744	3840	1096	172	940	845	1325	620	1765	1050	20475	20475
2025-02-28 13:54:03	218	86686	3525392704	4004876000	683503616	4198341968	3856	1088	170	940	850	1310	625	1675	1045	20475	20475
2025-02-28 13:54:03	217	87024	3525743040	4011690624	687835392	4206408464	3886	1088	138	925	845	1275	620	1610	1050	20475	20475
2025-02-28 13:54:03	218	87361	3519417152	4025751808	688077504	4220765952	3876	1082	230	920	845	1245	620	1525	1050	20475	20475
2025-02-28 13:54:03	218	87474	3515486080	4034445984	687213760	4222948384	3884	1060	254	920	840	1245	625	1500	1050	20475	20475
2025-02-28 13:54:04	219	87592	3517950784	4034612688	690508672	4227363696	3816	1128	194	930	845	1265	640	1520	1045	20475	20475
2025-02-28 13:54:04	221	87823	3522288768	4037101696	697170368	4237186696	3844	1122	106	940	855	1250	645	1495	1025	20475	20475
2025-02-28 13:54:04	218	88161	3517846720	4047318256	696407168	4243176172	3836	1120	184	930	855	1230	645	1470	1020	20475	20475
2025-02-28 13:54:05	217	88498	3518013056	4052637808	699234752	4254957536	3840	1128	200	925	855	1200	645	1425	1035	20475	20475
2025-02-28 13:54:05	216	88611	3517023616	4056606560	699695744	4258563592	3832	1152	202	925	850	1185	640	1405	1020	20475	20475
2025-02-28 13:54:05	218	88836	3517862016	4061333840	702550912	4265700902	3866	1146	174	920	850	1165	635	1385	1015	20475	20475
2025-02-28 13:54:05	217	88949	3517726272	4064657456	703587008	4267934756	3858	1096	206	925	850	1160	635	1380	1015	20475	20475
2025-02-28 13:54:05	219	89286	3517555008	4074057856	706699264	4277161052	3850	1122	172	925	850	1145	635	1375	1025	20475	20475
2025-02-28 13:54:06	218	89624	3517073280	4081801008	708720000	4286681848	3846	1096	200	925	855	1150	635	1370	1020	20475	20475
2025-02-28 13:54:06	217	90080	3513962560	4100480832	710711488	2722022	3878	1066	236	925	850	1165	720	1335	1040	20475	20475
2025-02-28 13:54:07	216	90648	3515556992	4113781376	715776000	16347762	3856	1078	220	920	860	1155	695	1365	1035	20475	20475
2025-02-28 13:54:07	220	90761	3515954368	4116318752	716727936	20888358	3842	1076	174	925	855	1140	640	1355	1035	20475	20475
2025-02-28 13:54:07	216	91098	3513968192	4125312832	716401216	30639870	3854	1070	276	920	860	1130	705	1340	1035	20475	20475
2025-02-28 13:54:08	216	91774	3513251200	4143826032	718744768	48929076	3862	1064	248	905	860	1150	705	1330	1045	20475	20475
2025-02-28 13:54:08	216	91886	3513063104	4146594000	718883776	52240808	3862	1068	242	910	860	1150	700	1340	1040	20475	20475
2025-02-28 13:54:08	216	91999	3513568448	4148992576	719652992	55841964	3838	1092	258	915	855	1150	700	1330	1040	20475	20475
2025-02-28 13:54:08	218	92224	3514100352	4155116480	720946880	61933808	3846	1068	256	910	860	1135	700	1335	1045	20475	20475
2025-02-28 13:54:08	218	92342	3514666176	4157653792	721716032	65671124	3830	1084	268	910	860	1140	700	1315	1050	20475	20475
2025-02-28 13:54:08	220	92455	3514859648	4160650160	722187072	68908768	3852	1064	228	910	860	1140	700	1320	1045	20475	20475
2025-02-28 13:54:09	218	92911	3516209728	4172359752	724452864	81140488	3852	1082	242	910	865	1150	700	1320	1035	20475	20475
2025-02-28 13:54:09	218	93361	3517173376	4184105360	725858112	93743544	3840	1074	258	910	865	1135	695	1315	1040	20475	20475
2025-02-28 13:54:10	218	93586	3517511680	4189437432	726142144	100277488	3862	1088	264	905	860	1140	700	1315	1040	20475	20475
2025-02-28 13:54:10	219	93699	3518024000	4192468368	726695040	103340728	3844	1076	240	910	860	1125	695	1310	1040	20475	20475
2025-02-28 13:54:10	220	94036	3519548800	4201392568	728168704	112480352	3858	1074	246	910	860	1130	695	1315	1045	20475	20475
2025-02-28 13:54:11	215	94492	3521455744	4213001952	729470656	125481608	3848	1090	274	910	865	1130	700	1310	1045	20475	20475
2025-02-28 13:54:11	216	94723	3522282048	4219337944	729975808	131471648	3848	1078	234	905	865	1140	700	1330	1045	20475	20475
2025-02-28 13:54:11	218	94835	3522184512	4223078616	729723328	134366752	3860	1078	258	910	870	1135	695	1320	1045	20475	20475
2025-02-28 13:54:11	218	95173	3523230080	4231515168	729704256	144357504	3858	1074	274	905	865	1130	700	1310	1050	20475	20475
2025-02-28 13:54:11	216	95286	3524082560	4234643168	730339584	147014224	3860	1070	278	905	870	1130	695	1315	1050	20475	20475
2025-02-28 13:54:12	219	95623	3525734656	4242605308	730647872	156859456	3866	1086	266	905	865	1130	705	1320	1050	20475	20475
2025-02-28 13:54:12	217	95848	3526385536	4250185260	730443328	163220512	3848	1072	272	910	865	1135	705	1325	1055	20475	20475
2025-02-28 13:54:12	220	95961	3526779264	4255893228	729877504	168969968	3862	1102	244	915	870	1155	695	1335	1055	20475	20475
2025-02-28 13:54:12	216	96299	3475338688	4249458700	681447232	121158312	4394	614	612	935	965	1190	1035	1515	1470	20475	20475
2025-02-28 13:54:13	219	96749	3416456768	4273290622	607720832	106471840	3608	294	1560	700	1505	2585	1525	1495	1535	20475	20475
2025-02-28 13:54:13	218	96867	3421735744	4269665314	612907392	118669944	3638	898	1246	680	1495	2680	1580	1480	1555	20475	20475
2025-02-28 13:54:13	215	96980	3433388992	4277153032	623004992	148801248	3566	814	1376	605	1490	3130	1620	1495	1535	20475	20475
2025-02-28 13:54:13	219	97098	3444429184	4290434467	634783040	162869712	3504	466	1778	575	1480	3545	1735	1540	1530	20475	20475
2025-02-28 13:54:13	219	97436	3528577920	87354992	691819136	281628256	2754	1020	1246	1225	1180	2165	1570	2520	1660	20475	20475
2025-02-28 13:54:14	218	97773	3591469888	169946048	704728192	363977536	3906	1270	76	1250	1075	2035	1515	2225	1680	20475	20475
2025-02-28 13:54:14	213	98111	3567820224	130559648	707496832	326452480	4106	836	314	1235	940	1905	1435	1990	1645	20475	20475
2025-02-28 13:54:15	218	98561	3557617280	4130821408	762990464	4283643423	3856	762	-440	1195	1435	2145	1785	1415	1535	20475	20475
2025-02-28 13:54:15	217	98899	3502330496	4111584128	693855232	4197119680	4048	752	460	1115	1350	2065	1955	1275	1560	20475	20475
2025-02-28 13:54:16	216	99698	3429103360	4255293636	626564096	95052056	2952	584	1998	920	1680	3320	1945	1755	1675	20475	20475
2025-02-28 13:54:16	218	99923	3432664384	4265350606	631939392	95503344	3724	752	1036	695	1630	3530	1875	1750	1650	20475	20475
2025-02-28 13:54:16	218	100036	3432801984	4268953550	629679872	111396224	3544	778	1364	745	1610	3455	1760	1775	1640	20475	20475
2025-02-28 13:54:16	221	100373	3453651840	4275796696	650901632	145119376	3954	722	722	545	1575	3465	1715	1805	1610	20475	20475
2025-02-28 13:54:17	218	100711	3467108544	4287356349	665109696	158533136	3816	772	896	510	1550	3435	1650	1805	1600	20475	20475
2025-02-28 13:54:17	216	100824	3466402880	4286032104	665530880	152909632	3810	724	1014	530	1565	3385	1620	1820	1610	20475	20475
2025-02-28 13:54:17	218	101161	3507712448	4289642558	710813632	166905104	3828	1048	312	495	1575	3305	1590	1825	1585	20475	20475
2025-02-28 13:54:17	216	101386	3516323904	5667016	713863808	192334752	3830	970	396	485	1555	3400	1595	1915	1570	20475	20475
2025-02-28 13:54:18	220	101499	3509833216	8710554	706015488	194788048	3850	944	472	455	1570	3515	1595	1915	1580	20475	20475
2025-02-28 13:54:18	220	101848	3493270336	9598235	690616960	182070448	3756	968	814	515	1575	3675	1525	1915	1565	20475	20475
2025-02-28 13:54:18	218	102073	3494241920	10163202	692865792	177719888	3826	832	600	550	1585	3590	1540	1960	1560	20475	20475
2025-02-28 13:54:19	217	102523	3500325440	28213648	697395712	185199824	3870	676	634	540	1590	3505	1540	1925	1545	20475	20475
2025-02-28 13:54:19	221	102974	3475951552	51377660	644546688	253070448	3842	50	1088	605	1595	2850	1725	1855	1590	20475	20475
2025-02-28 13:54:19	215	103199	3469737984	75108672	628152896	267751424	3988	1056	1152	750	1525	2170	1530	1930	1565	20475	20475
2025-02-28 13:54:19	221	103311	3486367424	96756344	645674240	269853504	3980	530	844	785	1515	2040	1430	2005	1565	20475	20475
2025-02-28 13:54:20	217	103649	3519465024	123999896	666710400	302703104	3978	614	724	805	1495	1905	1380	1790	1525	20475	20475
2025-02-28 13:54:20	215	103761	3524648768	124166208	665827584	317454304	3502	1160	880	860	1510	1970	1415	1705	1545	20475	20475
2025-02-28 13:54:20	214	103992	3586492736	137996800	741735744	285938112	4806	184	1456	1165	1110	1815	1360	1530	1565	20475	20475
2025-02-28 13:54:20	219	104105	3622731584	140715504	774214528	286010208	4310	1210	-674	1110	945	1380	995	1390	1455	20475	20475
2025-02-28 13:54:20	218	104335	3635100480	107261944	786444928	295781664	3882	1218	-444	1095	885	1190	845	1075	1170	20475	20475
2025-02-28 13:54:21	218	104448	3612849664	82346952	763402688	313149024	3854	1448	38	1085	865	1160	805	1010	1165	20475	20475
2025-02-28 13:54:21	218	104786	3589961920	70348120	735752640	331056576	3802	1414	62	1165	880	1180	865	975	1195	20475	20475
2025-02-28 13:54:22	218	105461	3438662784	48676088	449772640	463669472	2106	1206	2606	830	1335	1485	1365	1580	1560	20475	20475
2025-02-28 13:54:22	218	105574	3421590656	41308268	413301728	466476320	3472	1222	2924	825	1375	1480	1440	1550	1530	20475	20475
2025-02-28 13:54:22	218	105911	3478951040	54492424	528736896	452213408	4372	-216	1634	920	1510	2155	2045	1625	1620	20475	20475
2025-02-28 13:54:22	214	106024	3532546944	148259008	591418560	447068512	1922	238	2464	1200	1585	2245	2145	2180	1710	20475	20475
2025-02-28 13:54:22	220	106249	3538490048	106767616	632883968	410746048	2906	1678	1272	1240	1480	2085	1980	2255	1660	20475	20475
2025-02-28 13:54:23	216	106598	3507910528	92114864	590992000	419161568	2678	1330	2436	1200	1510	3845	1815	2195	1705	20475	20475
2025-02-28 13:54:23	219	106711	3451140480	60566524	496108800	437121984	2070	402	1654	995	1560	3070	1850	1885	1645	20475	20475
2025-02-28 13:54:23	216	107048	3388338176	136047392	433677984	352632256	2856	-72	2566	940	1605	2190	1875	1640	1670	20475	20475
2025-02-28 13:54:23	218	107273	3417950016	132365976	448490432	406309728	2960	2132	1984	1005	1655	2120	1860	1610	1660	20475	20475
2025-02-28 13:54:23	220	107386	3452882816	152252400	489387808	425586592	2744	1214	2244	1040	1645	2350	1885	1480	1725	20475	20475
2025-02-28 13:54:24	217	107498	3512657536	148127024	574773184	434277952	4190	1738	18	1255	1730	2210	1760	1590	1710	20475	20475
2025-02-28 13:54:24	218	107724	3594706304	75079816	733771328	344221856	4470	270	3128	1205	1180	1890	1540	1320	1690	20475	20475
